experiment,family,add_model,conversation_idx,base_score,adjusted_score,penalty,qa_llm_score,memory_count,memory_token_count,coverage_floor_risk,qa_aware_floor_risk,answer_span_coverage,retrieval_empty_rate,selected_answer_coverage,feature_penalties_json
C4_qa_aware_all,qa_aware,deepseek,4,0.8846,0.8846,0.0,,364,4108,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,4,0.8846,0.8521,0.0325,,364,4108,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.016249999999999997, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,5,0.8885,0.8885,0.0,,282,3513,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,5,0.8885,0.8885,0.0,,282,3513,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,5,0.8885,0.8885,0.0,,282,3513,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,5,0.8885,0.8885,0.0,,282,3513,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,5,0.8885,0.8672,0.0213,,282,3513,False,,,,,"{""entity_coverage"": 0.021250000000000005}"
E5_keyword_coverage_tfidf,memory_only,deepseek,5,0.8885,0.8697,0.0188,,282,3513,False,,,,,"{""keyword_coverage_tfidf"": 0.018750000000000003}"
E6_pronoun_ambiguity,memory_only,deepseek,5,0.8885,0.8867,0.0018,,282,3513,False,,,,,"{""pronoun_ambiguity"": 0.00175}"
E7_answer_span_coverage,qa_aware,deepseek,5,0.8885,0.8885,0.0,,282,3513,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,5,0.8885,0.8885,0.0,,282,3513,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,5,0.8885,0.8485,0.04,,282,3513,False,,,,,"{""entity_coverage"": 0.021250000000000005, ""keyword_coverage_tfidf"": 0.018750000000000003, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,5,0.8885,0.8867,0.0018,,282,3513,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00175}"
C3_memory_only_all,memory_only,deepseek,5,0.8885,0.8467,0.0418,,282,3513,False,,,,,"{""entity_coverage"": 0.021250000000000005, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.018750000000000003, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00175}"
C4_qa_aware_all,qa_aware,deepseek,5,0.8885,0.8885,0.0,,282,3513,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,5,0.8885,0.8467,0.0418,,282,3513,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.021250000000000005, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.018750000000000003, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00175, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,6,0.8346,0.8158,0.0188,,390,4450,False,,,,,"{""entity_coverage"": 0.018750000000000003}"
E5_keyword_coverage_tfidf,memory_only,deepseek,6,0.8346,0.8184,0.0162,,390,4450,False,,,,,"{""keyword_coverage_tfidf"": 0.016249999999999997}"
E6_pronoun_ambiguity,memory_only,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,6,0.8346,0.7996,0.035,,390,4450,False,,,,,"{""entity_coverage"": 0.018750000000000003, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C3_memory_only_all,memory_only,deepseek,6,0.8346,0.7996,0.035,,390,4450,False,,,,,"{""entity_coverage"": 0.018750000000000003, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C4_qa_aware_all,qa_aware,deepseek,6,0.8346,0.8346,0.0,,390,4450,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,6,0.8346,0.7996,0.035,,390,4450,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.018750000000000003, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.016249999999999997, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,7,0.8846,0.8846,0.0,,326,4257,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,7,0.8846,0.8846,0.0,,326,4257,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,7,0.8846,0.8846,0.0,,326,4257,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,7,0.8846,0.8846,0.0,,326,4257,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,7,0.8846,0.8696,0.015,,326,4257,False,,,,,"{""entity_coverage"": 0.015000000000000003}"
E5_keyword_coverage_tfidf,memory_only,deepseek,7,0.8846,0.8659,0.0188,,326,4257,False,,,,,"{""keyword_coverage_tfidf"": 0.018750000000000003}"
E6_pronoun_ambiguity,memory_only,deepseek,7,0.8846,0.8831,0.0015,,326,4257,False,,,,,"{""pronoun_ambiguity"": 0.00155}"
E7_answer_span_coverage,qa_aware,deepseek,7,0.8846,0.8846,0.0,,326,4257,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,7,0.8846,0.8846,0.0,,326,4257,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,7,0.8846,0.8509,0.0338,,326,4257,False,,,,,"{""entity_coverage"": 0.015000000000000003, ""keyword_coverage_tfidf"": 0.018750000000000003, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,7,0.8846,0.8831,0.0015,,326,4257,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00155}"
C3_memory_only_all,memory_only,deepseek,7,0.8846,0.8493,0.0353,,326,4257,False,,,,,"{""entity_coverage"": 0.015000000000000003, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.018750000000000003, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00155}"
C4_qa_aware_all,qa_aware,deepseek,7,0.8846,0.8846,0.0,,326,4257,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,7,0.8846,0.8493,0.0353,,326,4257,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.015000000000000003, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.018750000000000003, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.00155, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,8,0.8154,0.7954,0.02,,233,2760,False,,,,,"{""entity_coverage"": 0.020000000000000004}"
E5_keyword_coverage_tfidf,memory_only,deepseek,8,0.8154,0.7942,0.0213,,233,2760,False,,,,,"{""keyword_coverage_tfidf"": 0.021250000000000005}"
E6_pronoun_ambiguity,memory_only,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,8,0.8154,0.7742,0.0413,,233,2760,False,,,,,"{""entity_coverage"": 0.020000000000000004, ""keyword_coverage_tfidf"": 0.021250000000000005, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C3_memory_only_all,memory_only,deepseek,8,0.8154,0.7742,0.0413,,233,2760,False,,,,,"{""entity_coverage"": 0.020000000000000004, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.021250000000000005, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C4_qa_aware_all,qa_aware,deepseek,8,0.8154,0.8154,0.0,,233,2760,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,8,0.8154,0.7742,0.0413,,233,2760,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.020000000000000004, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.021250000000000005, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,{}
E1_memory_count_token,memory_only,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""memory_count_token"": 0.0}"
E2_exact_duplicate,memory_only,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,deepseek,9,0.8192,0.803,0.0162,,309,3535,False,,,,,"{""entity_coverage"": 0.016249999999999997}"
E5_keyword_coverage_tfidf,memory_only,deepseek,9,0.8192,0.8042,0.015,,309,3535,False,,,,,"{""keyword_coverage_tfidf"": 0.015000000000000003}"
E6_pronoun_ambiguity,memory_only,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""answer_span_coverage"": 0.0}"
E8_retrieval_failure,qa_aware,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""retrieval_failure"": 0.0}"
C1_memory_coverage_combo,memory_only,deepseek,9,0.8192,0.788,0.0312,,309,3535,False,,,,,"{""entity_coverage"": 0.016249999999999997, ""keyword_coverage_tfidf"": 0.015000000000000003, ""memory_count_token"": 0.0}"
C2_efficiency_structure_combo,memory_only,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""exact_duplicate"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C3_memory_only_all,memory_only,deepseek,9,0.8192,0.788,0.0312,,309,3535,False,,,,,"{""entity_coverage"": 0.016249999999999997, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.015000000000000003, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0}"
C4_qa_aware_all,qa_aware,deepseek,9,0.8192,0.8192,0.0,,309,3535,False,,,,,"{""answer_span_coverage"": 0.0, ""retrieval_failure"": 0.0}"
C5_all_features,combined,deepseek,9,0.8192,0.788,0.0312,,309,3535,False,,,,,"{""answer_span_coverage"": 0.0, ""entity_coverage"": 0.016249999999999997, ""exact_duplicate"": 0.0, ""keyword_coverage_tfidf"": 0.015000000000000003, ""memory_count_token"": 0.0, ""near_duplicate_lexical"": 0.0, ""pronoun_ambiguity"": 0.0, ""retrieval_failure"": 0.0}"
E0_v9_baseline,baseline,gemini,0,0.8731,0.8731,0.0,0.558,149,1750,True,True,0.3986,0.1232,0.2826,{}
E1_memory_count_token,memory_only,gemini,0,0.8731,0.8634,0.0097,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""memory_count_token"": 0.009686708131766876}"
E2_exact_duplicate,memory_only,gemini,0,0.8731,0.8731,0.0,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""exact_duplicate"": 0.0}"
E3_near_duplicate_lexical,memory_only,gemini,0,0.8731,0.8731,0.0,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""near_duplicate_lexical"": 0.0}"
E4_entity_coverage,memory_only,gemini,0,0.8731,0.8468,0.0263,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""entity_coverage"": 0.026250000000000002}"
E5_keyword_coverage_tfidf,memory_only,gemini,0,0.8731,0.8462,0.0269,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""keyword_coverage_tfidf"": 0.026875}"
E6_pronoun_ambiguity,memory_only,gemini,0,0.8731,0.8731,0.0,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""pronoun_ambiguity"": 0.0}"
E7_answer_span_coverage,qa_aware,gemini,0,0.8731,0.843,0.0301,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""answer_span_coverage"": 0.03007}"
E8_retrieval_failure,qa_aware,gemini,0,0.8731,0.8231,0.05,0.558,149,1750,True,True,0.3986,0.1232,0.2826,"{""retrieval_failure"": 0.05}"
